Date,Cleaned Up Date,Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon)
7-Dec-15,12/1/2015,2.159
14-Dec-15,12/1/2015,2.144
21-Dec-15,12/1/2015,2.133
28-Dec-15,12/1/2015,2.141
4-Jan-16,1/1/2016,2.135
11-Jan-16,1/1/2016,2.104
18-Jan-16,1/1/2016,2.022
25-Jan-16,1/1/2016,1.965
1-Feb-16,2/1/2016,1.932
8-Feb-16,2/1/2016,1.87
15-Feb-16,2/1/2016,1.834
22-Feb-16,2/1/2016,1.837
29-Feb-16,2/1/2016,1.887
7-Mar-16,3/1/2016,1.943
14-Mar-16,3/1/2016,2.062
21-Mar-16,3/1/2016,2.109
28-Mar-16,3/1/2016,2.169
4-Apr-16,4/1/2016,2.185
11-Apr-16,4/1/2016,2.173
18-Apr-16,4/1/2016,2.24
25-Apr-16,4/1/2016,2.265
2-May-16,5/1/2016,2.342
9-May-16,5/1/2016,2.325
16-May-16,5/1/2016,2.345
23-May-16,5/1/2016,2.403
30-May-16,5/1/2016,2.44
6-Jun-16,6/1/2016,2.482
13-Jun-16,6/1/2016,2.499
20-Jun-16,6/1/2016,2.455
27-Jun-16,6/1/2016,2.432
4-Jul-16,7/1/2016,2.396
11-Jul-16,7/1/2016,2.359
18-Jul-16,7/1/2016,2.336
25-Jul-16,7/1/2016,2.289
1-Aug-16,8/1/2016,2.267
8-Aug-16,8/1/2016,2.256
15-Aug-16,8/1/2016,2.256
22-Aug-16,8/1/2016,2.299
29-Aug-16,8/1/2016,2.341
5-Sep-16,9/1/2016,2.329
12-Sep-16,9/1/2016,2.31
19-Sep-16,9/1/2016,2.333
26-Sep-16,9/1/2016,2.334
3-Oct-16,10/1/2016,2.354
10-Oct-16,10/1/2016,2.381
17-Oct-16,10/1/2016,2.367
24-Oct-16,10/1/2016,2.353
31-Oct-16,10/1/2016,2.341
7-Nov-16,11/1/2016,2.345
14-Nov-16,11/1/2016,2.298
21-Nov-16,11/1/2016,2.269
28-Nov-16,11/1/2016,2.268
5-Dec-16,12/1/2016,2.321
12-Dec-16,12/1/2016,2.347
19-Dec-16,12/1/2016,2.375
26-Dec-16,12/1/2016,2.419
2-Jan-17,1/1/2017,2.485
9-Jan-17,1/1/2017,2.496
16-Jan-17,1/1/2017,2.467
23-Jan-17,1/1/2017,2.436
30-Jan-17,1/1/2017,2.408
6-Feb-17,2/1/2017,2.405
13-Feb-17,2/1/2017,2.418
20-Feb-17,2/1/2017,2.414
27-Feb-17,2/1/2017,2.427
6-Mar-17,3/1/2017,2.452
13-Mar-17,3/1/2017,2.434
20-Mar-17,3/1/2017,2.433
27-Mar-17,3/1/2017,2.428
3-Apr-17,4/1/2017,2.471
10-Apr-17,4/1/2017,2.534
17-Apr-17,4/1/2017,2.546
24-Apr-17,4/1/2017,2.559
1-May-17,5/1/2017,2.522
8-May-17,5/1/2017,2.484
15-May-17,5/1/2017,2.481
22-May-17,5/1/2017,2.51
29-May-17,5/1/2017,2.516
5-Jun-17,6/1/2017,2.525
12-Jun-17,6/1/2017,2.479
19-Jun-17,6/1/2017,2.433
26-Jun-17,6/1/2017,2.404
3-Jul-17,7/1/2017,2.376
10-Jul-17,7/1/2017,2.411
17-Jul-17,7/1/2017,2.392
24-Jul-17,7/1/2017,2.426
31-Jul-17,7/1/2017,2.467
7-Aug-17,8/1/2017,2.492
14-Aug-17,8/1/2017,2.497
21-Aug-17,8/1/2017,2.474
28-Aug-17,8/1/2017,2.513
4-Sep-17,9/1/2017,2.794
11-Sep-17,9/1/2017,2.8
18-Sep-17,9/1/2017,2.75
25-Sep-17,9/1/2017,2.701
2-Oct-17,10/1/2017,2.682
9-Oct-17,10/1/2017,2.622
16-Oct-17,10/1/2017,2.605
23-Oct-17,10/1/2017,2.594
30-Oct-17,10/1/2017,2.602
6-Nov-17,11/1/2017,2.673
13-Nov-17,11/1/2017,2.706
20-Nov-17,11/1/2017,2.683
27-Nov-17,11/1/2017,2.648
4-Dec-17,12/1/2017,2.617
11-Dec-17,12/1/2017,2.601
18-Dec-17,12/1/2017,2.568
25-Dec-17,12/1/2017,2.589
1-Jan-18,1/1/2018,2.637
8-Jan-18,1/1/2018,2.639
15-Jan-18,1/1/2018,2.673
22-Jan-18,1/1/2018,2.684
29-Jan-18,1/1/2018,2.723
5-Feb-18,2/1/2018,2.753
12-Feb-18,2/1/2018,2.724
19-Feb-18,2/1/2018,2.676
26-Feb-18,2/1/2018,2.666
5-Mar-18,3/1/2018,2.679
12-Mar-18,3/1/2018,2.677
19-Mar-18,3/1/2018,2.716
26-Mar-18,3/1/2018,2.764
2-Apr-18,4/1/2018,2.817
9-Apr-18,4/1/2018,2.811
16-Apr-18,4/1/2018,2.863
23-Apr-18,4/1/2018,2.914
30-Apr-18,4/1/2018,2.961
7-May-18,5/1/2018,2.96
14-May-18,5/1/2018,2.949
21-May-18,5/1/2018,2.999
28-May-18,5/1/2018,3.039
4-Jun-18,6/1/2018,3.018
11-Jun-18,6/1/2018,2.989
18-Jun-18,6/1/2018,2.958
25-Jun-18,6/1/2018,2.913
2-Jul-18,7/1/2018,2.924
9-Jul-18,7/1/2018,2.937
16-Jul-18,7/1/2018,2.943
23-Jul-18,7/1/2018,2.911
30-Jul-18,7/1/2018,2.924
6-Aug-18,8/1/2018,2.93
13-Aug-18,8/1/2018,2.921
20-Aug-18,8/1/2018,2.9
27-Aug-18,8/1/2018,2.906
3-Sep-18,9/1/2018,2.903
10-Sep-18,9/1/2018,2.912
17-Sep-18,9/1/2018,2.921
24-Sep-18,9/1/2018,2.923
1-Oct-18,10/1/2018,2.947
8-Oct-18,10/1/2018,2.984
15-Oct-18,10/1/2018,2.961
22-Oct-18,10/1/2018,2.925
29-Oct-18,10/1/2018,2.896
5-Nov-18,11/1/2018,2.84
12-Nov-18,11/1/2018,2.773
19-Nov-18,11/1/2018,2.7
26-Nov-18,11/1/2018,2.63
3-Dec-18,12/1/2018,2.544
10-Dec-18,12/1/2018,2.511
17-Dec-18,12/1/2018,2.46
24-Dec-18,12/1/2018,2.413
31-Dec-18,12/1/2018,2.358
7-Jan-19,1/1/2019,2.329
14-Jan-19,1/1/2019,2.338
21-Jan-19,1/1/2019,2.34
28-Jan-19,1/1/2019,2.343
4-Feb-19,2/1/2019,2.341
11-Feb-19,2/1/2019,2.361
18-Feb-19,2/1/2019,2.4
25-Feb-19,2/1/2019,2.471
4-Mar-19,3/1/2019,2.502
11-Mar-19,3/1/2019,2.549
18-Mar-19,3/1/2019,2.625
25-Mar-19,3/1/2019,2.701
1-Apr-19,4/1/2019,2.77
8-Apr-19,4/1/2019,2.826
15-Apr-19,4/1/2019,2.912
22-Apr-19,4/1/2019,2.926
29-Apr-19,4/1/2019,2.972
6-May-19,5/1/2019,2.983
13-May-19,5/1/2019,2.954
20-May-19,5/1/2019,2.939
27-May-19,5/1/2019,2.909
3-Jun-19,6/1/2019,2.893
10-Jun-19,6/1/2019,2.821
17-Jun-19,6/1/2019,2.759
24-Jun-19,6/1/2019,2.741
1-Jul-19,7/1/2019,2.798
8-Jul-19,7/1/2019,2.827
15-Jul-19,7/1/2019,2.86
22-Jul-19,7/1/2019,2.833
29-Jul-19,7/1/2019,2.798
5-Aug-19,8/1/2019,2.772
12-Aug-19,8/1/2019,2.71
19-Aug-19,8/1/2019,2.684
26-Aug-19,8/1/2019,2.661
2-Sep-19,9/1/2019,2.651
9-Sep-19,9/1/2019,2.638
16-Sep-19,9/1/2019,2.64
23-Sep-19,9/1/2019,2.741
30-Sep-19,9/1/2019,2.737
7-Oct-19,10/1/2019,2.742
14-Oct-19,10/1/2019,2.727
21-Oct-19,10/1/2019,2.735
28-Oct-19,10/1/2019,2.692
4-Nov-19,11/1/2019,2.702
11-Nov-19,11/1/2019,2.711
18-Nov-19,11/1/2019,2.688
25-Nov-19,11/1/2019,2.672
2-Dec-19,12/1/2019,2.667
9-Dec-19,12/1/2019,2.652
16-Dec-19,12/1/2019,2.627
23-Dec-19,12/1/2019,2.621
30-Dec-19,12/1/2019,2.658
6-Jan-20,1/1/2020,2.665
13-Jan-20,1/1/2020,2.657
20-Jan-20,1/1/2020,2.625
27-Jan-20,1/1/2020,2.595
3-Feb-20,2/1/2020,2.546
10-Feb-20,2/1/2020,2.511
17-Feb-20,2/1/2020,2.518
24-Feb-20,2/1/2020,2.555
2-Mar-20,3/1/2020,2.514
9-Mar-20,3/1/2020,2.468
16-Mar-20,3/1/2020,2.343
23-Mar-20,3/1/2020,2.217
30-Mar-20,3/1/2020,2.103
6-Apr-20,4/1/2020,2.022
13-Apr-20,4/1/2020,1.951
20-Apr-20,4/1/2020,1.91
27-Apr-20,4/1/2020,1.87
4-May-20,5/1/2020,1.883
11-May-20,5/1/2020,1.941
18-May-20,5/1/2020,1.969
25-May-20,5/1/2020,2.049
1-Jun-20,6/1/2020,2.064
8-Jun-20,6/1/2020,2.123
15-Jun-20,6/1/2020,2.185
22-Jun-20,6/1/2020,2.216
29-Jun-20,6/1/2020,2.26
6-Jul-20,7/1/2020,2.265
13-Jul-20,7/1/2020,2.283
20-Jul-20,7/1/2020,2.275
27-Jul-20,7/1/2020,2.265
3-Aug-20,8/1/2020,2.266
10-Aug-20,8/1/2020,2.256
17-Aug-20,8/1/2020,2.256
24-Aug-20,8/1/2020,2.272
31-Aug-20,8/1/2020,2.311
7-Sep-20,9/1/2020,2.302
14-Sep-20,9/1/2020,2.274
21-Sep-20,9/1/2020,2.259
28-Sep-20,9/1/2020,2.259
5-Oct-20,10/1/2020,2.262
12-Oct-20,10/1/2020,2.257
19-Oct-20,10/1/2020,2.24
26-Oct-20,10/1/2020,2.234
2-Nov-20,11/1/2020,2.204
9-Nov-20,11/1/2020,2.188
16-Nov-20,11/1/2020,2.202
23-Nov-20,11/1/2020,2.194
30-Nov-20,11/1/2020,2.211
7-Dec-20,12/1/2020,2.246
14-Dec-20,12/1/2020,2.247
21-Dec-20,12/1/2020,2.311
28-Dec-20,12/1/2020,2.33
4-Jan-21,1/1/2021,2.336
11-Jan-21,1/1/2021,2.403
18-Jan-21,1/1/2021,2.464
25-Jan-21,1/1/2021,2.478
1-Feb-21,2/1/2021,2.495
8-Feb-21,2/1/2021,2.548
15-Feb-21,2/1/2021,2.588
22-Feb-21,2/1/2021,2.717
1-Mar-21,3/1/2021,2.796
8-Mar-21,3/1/2021,2.857
15-Mar-21,3/1/2021,2.94
22-Mar-21,3/1/2021,2.954
29-Mar-21,3/1/2021,2.941
5-Apr-21,4/1/2021,2.945
12-Apr-21,4/1/2021,2.939
19-Apr-21,4/1/2021,2.945
26-Apr-21,4/1/2021,2.962
3-May-21,5/1/2021,2.981
10-May-21,5/1/2021,3.051
17-May-21,5/1/2021,3.118
24-May-21,5/1/2021,3.112
31-May-21,5/1/2021,3.119
7-Jun-21,6/1/2021,3.128
14-Jun-21,6/1/2021,3.161
21-Jun-21,6/1/2021,3.153
28-Jun-21,6/1/2021,3.185
5-Jul-21,7/1/2021,3.216
12-Jul-21,7/1/2021,3.227
19-Jul-21,7/1/2021,3.247
26-Jul-21,7/1/2021,3.232
2-Aug-21,8/1/2021,3.256
9-Aug-21,8/1/2021,3.269
16-Aug-21,8/1/2021,3.272
23-Aug-21,8/1/2021,3.243
30-Aug-21,8/1/2021,3.237
6-Sep-21,9/1/2021,3.273
13-Sep-21,9/1/2021,3.262
20-Sep-21,9/1/2021,3.28
27-Sep-21,9/1/2021,3.271
4-Oct-21,10/1/2021,3.285
11-Oct-21,10/1/2021,3.36
18-Oct-21,10/1/2021,3.416
25-Oct-21,10/1/2021,3.476
1-Nov-21,11/1/2021,3.484
8-Nov-21,11/1/2021,3.505
15-Nov-21,11/1/2021,3.495
22-Nov-21,11/1/2021,3.493
29-Nov-21,11/1/2021,3.478
6-Dec-21,12/1/2021,3.44
13-Dec-21,12/1/2021,3.414
20-Dec-21,12/1/2021,3.395
27-Dec-21,12/1/2021,3.375
3-Jan-22,1/1/2022,3.381
10-Jan-22,1/1/2022,3.394
17-Jan-22,1/1/2022,3.404
24-Jan-22,1/1/2022,3.421
31-Jan-22,1/1/2022,3.464
7-Feb-22,2/1/2022,3.538
14-Feb-22,2/1/2022,3.581
21-Feb-22,2/1/2022,3.624
28-Feb-22,2/1/2022,3.701
7-Mar-22,3/1/2022,4.196
14-Mar-22,3/1/2022,4.414
21-Mar-22,3/1/2022,4.343
28-Mar-22,3/1/2022,4.334
4-Apr-22,4/1/2022,4.274
11-Apr-22,4/1/2022,4.196
18-Apr-22,4/1/2022,4.17
25-Apr-22,4/1/2022,4.211
2-May-22,5/1/2022,4.285
9-May-22,5/1/2022,4.428
16-May-22,5/1/2022,4.591
23-May-22,5/1/2022,4.694
30-May-22,5/1/2022,4.727
6-Jun-22,6/1/2022,4.977
13-Jun-22,6/1/2022,5.107
20-Jun-22,6/1/2022,5.066
27-Jun-22,6/1/2022,4.979
4-Jul-22,7/1/2022,4.879
11-Jul-22,7/1/2022,4.754
18-Jul-22,7/1/2022,4.599
25-Jul-22,7/1/2022,4.44
1-Aug-22,8/1/2022,4.304
8-Aug-22,8/1/2022,4.151
15-Aug-22,8/1/2022,4.051
22-Aug-22,8/1/2022,3.993
29-Aug-22,8/1/2022,3.938
5-Sep-22,9/1/2022,3.859
12-Sep-22,9/1/2022,3.805
19-Sep-22,9/1/2022,3.771
26-Sep-22,9/1/2022,3.832
3-Oct-22,10/1/2022,3.909
10-Oct-22,10/1/2022,4.034
17-Oct-22,10/1/2022,3.99
24-Oct-22,10/1/2022,3.887
31-Oct-22,10/1/2022,3.857
7-Nov-22,11/1/2022,3.909
14-Nov-22,11/1/2022,3.876
21-Nov-22,11/1/2022,3.763
28-Nov-22,11/1/2022,3.649
5-Dec-22,12/1/2022,3.504
12-Dec-22,12/1/2022,3.353
19-Dec-22,12/1/2022,3.234
26-Dec-22,12/1/2022,3.203
2-Jan-23,1/1/2023,3.331
9-Jan-23,1/1/2023,3.366
16-Jan-23,1/1/2023,3.416
23-Jan-23,1/1/2023,3.519
30-Jan-23,1/1/2023,3.594
6-Feb-23,2/1/2023,3.552
